ts,event,exchange,segment,symbol,side,qty,price,reason,strategy_type,trade_mode,extra
2026-01-01 05:11:42,ENTRY,NSE,CASH,TEST,BUY,1,220.2336,Entry,Camarilla,Paper,
2026-01-01 05:11:42,EXIT,NSE,CASH,TEST,SELL,1,220.3475,SL,Camarilla,Paper,
2026-01-01 05:18:01,ENTRY,NSE,CASH,TEST2,BUY,1,269.7058,Entry,Camarilla,Paper,
2026-01-01 05:18:01,EXIT,NSE,CASH,TEST2,SELL,1,269.8894,SL,Camarilla,Paper,
2026-01-01 05:20:11,ENTRY,NSE,CASH,CLAMP,BUY,1,100.0000,Entry,X,Paper,
2026-01-01 05:20:11,EXIT,NSE,CASH,CLAMP,SELL,1,101.0000,Manual,X,Paper,
2026-01-01 05:22:05,ENTRY,NSE,CASH,SCALE,BUY,1,260.0208,Entry,Camarilla,Paper,
2026-01-01 05:22:05,EXIT,NSE,CASH,SCALE,SELL,1,259.9222,SL,Camarilla,Paper,
2026-01-01 05:22:06,ENTRY,NSE,CASH,SCALE,BUY,1,260.4434,Entry,Camarilla,Paper,
2026-01-01 05:22:06,EXIT,NSE,CASH,SCALE,SELL,1,260.2746,SL,Camarilla,Paper,
2026-01-01 05:22:07,ENTRY,NSE,CASH,SCALE,BUY,1,260.6318,Entry,Camarilla,Paper,
2026-01-01 05:22:07,EXIT,NSE,CASH,SCALE,SELL,1,260.4383,SL,Camarilla,Paper,
